iter	Passed	Remaining
0	0	91
1	1	79
2	2	72
3	2	64
4	3	64
5	3	61
6	4	60
7	5	60
8	5	60
9	6	60
10	7	58
11	7	58
12	8	56
13	9	56
14	9	55
15	10	53
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	17	46
28	18	45
29	19	44
30	19	43
31	20	43
32	21	42
33	21	42
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	18
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
